Tamanho,Busca seq. em vetor,Busca bin. em vetor,Busca seq. em lista
100000,342.000000,2.000000,763.000000
200000,92.000000,2.000000,149.000000
300000,986.000000,2.000000,1527.000000
400000,1318.000000,2.000000,2323.000000
500000,369.000000,2.000000,585.000000
600000,2009.000000,8.000000,5077.000000
700000,1081.000000,5.000000,1228.000000
800000,611.000000,6.000000,975.000000
900000,428.000000,13.000000,768.000000
1000000,1343.000000,3.000000,6175.000000
